iter	Passed	Remaining
312	678	1489
313	680	1485
314	681	1483
315	683	1479
316	685	1476
317	686	1472
318	688	1469
319	690	1466
320	691	1463
321	693	1459
322	695	1456
323	696	1453
324	698	1450
325	699	1446
326	701	1444
327	703	1441
328	704	1437
329	706	1434
330	708	1431
331	710	1428
332	711	1425
333	713	1422
334	715	1419
335	716	1416
336	718	1413
337	720	1410
338	721	1407
339	723	1403
340	724	1400
341	726	1397
342	727	1394
343	729	1391
344	731	1387
345	732	1385
346	734	1382
347	735	1378
348	737	1374
349	738	1371
350	740	1368
351	741	1365
352	743	1362
353	744	1359
354	746	1355
355	747	1352
356	749	1349
357	750	1346
358	752	1343
359	753	1340
360	755	1337
361	756	1334
362	758	1331
363	760	1328
364	761	1324
365	763	1321
366	764	1318
367	766	1315
368	767	1312
369	769	1309
370	770	1306
371	772	1303
372	773	1300
373	775	1297
374	776	1294
375	778	1291
376	780	1289
377	781	1286
378	783	1283
379	784	1280
380	786	1277
381	787	1274
382	789	1272
383	791	1268
384	792	1266
385	794	1263
386	795	1260
387	797	1257
388	798	1254
389	800	1251
390	801	1248
391	803	1245
392	804	1242
393	805	1239
394	807	1236
395	809	1234
396	810	1231
397	812	1228
398	813	1225
399	815	1222
400	816	1220
401	818	1217
402	819	1214
403	821	1211
404	822	1208
405	824	1205
406	825	1203
407	827	1200
408	828	1197
409	830	1194
410	831	1191
411	833	1189
412	834	1186
413	836	1183
414	837	1180
415	839	1178
416	840	1175
417	842	1172
418	843	1170
419	845	1167
420	847	1164
421	848	1162
422	849	1159
423	851	1156
424	852	1153
425	854	1151
426	855	1148
427	857	1145
428	858	1143
429	860	1140
430	861	1137
431	863	1135
432	864	1132
433	866	1130
434	867	1127
435	869	1124
436	871	1122
437	872	1119
438	874	1117
439	875	1114
440	877	1112
441	878	1109
442	880	1107
443	882	1104
444	883	1102
445	885	1099
446	886	1097
447	888	1094
448	890	1092
449	891	1089
450	893	1087
451	894	1084
452	896	1082
453	898	1080
454	899	1077
455	900	1074
456	902	1072
457	904	1069
458	905	1067
459	907	1064
460	908	1062
461	910	1060
462	912	1058
463	913	1055
464	915	1053
465	917	1051
466	918	1048
467	920	1046
468	922	1044
469	923	1041
470	925	1039
471	926	1036
472	928	1034
473	929	1031
474	931	1029
475	932	1026
476	934	1024
477	936	1022
478	937	1019
479	939	1017
480	940	1015
481	942	1012
482	943	1010
483	945	1007
484	947	1005
485	948	1003
486	950	1000
487	951	998
488	953	996
489	954	993
490	956	991
491	958	989
492	959	987
493	961	985
494	963	982
495	964	980
496	966	978
497	967	975
498	969	973
499	970	970
500	972	968
501	974	966
502	975	964
503	977	962
504	979	959
505	980	957
506	982	955
507	984	953
508	985	951
509	987	948
510	989	946
511	990	944
512	992	942
513	994	940
514	995	937
515	997	935
516	998	933
517	1000	931
518	1002	928
519	1003	926
520	1005	924
521	1006	921
522	1008	919
523	1009	917
524	1011	915
525	1012	912
526	1014	910
527	1016	908
528	1017	906
529	1019	903
530	1020	901
531	1022	899
532	1024	897
533	1025	894
534	1027	892
535	1028	890
536	1030	888
537	1031	886
538	1033	883
539	1035	881
540	1037	879
541	1038	877
542	1040	875
543	1041	873
544	1043	871
545	1045	869
546	1046	866
547	1048	864
548	1050	862
549	1051	860
550	1053	858
551	1054	856
552	1056	853
553	1057	851
554	1059	849
555	1061	847
556	1062	845
557	1064	842
558	1065	840
559	1067	838
560	1069	836
561	1070	834
562	1072	832
563	1073	830
564	1075	827
565	1076	825
566	1078	823
567	1080	821
568	1081	819
569	1083	817
570	1085	815
571	1087	813
572	1088	811
573	1090	809
574	1092	807
575	1093	805
576	1095	803
577	1096	800
578	1098	798
579	1100	796
580	1101	794
581	1103	792
582	1105	790
583	1106	788
584	1108	786
585	1109	784
586	1111	781
587	1112	779
588	1114	777
589	1115	775
590	1117	773
591	1118	771
592	1120	768
593	1121	766
594	1123	764
595	1124	762
596	1126	760
597	1127	758
598	1129	756
599	1131	754
600	1132	751
601	1134	749
602	1135	747
603	1137	745
604	1138	743
605	1139	741
606	1141	739
607	1143	737
608	1144	734
609	1146	732
610	1147	730
611	1149	728
612	1150	726
613	1152	724
614	1153	722
615	1155	720
616	1156	718
617	1158	715
618	1159	713
619	1161	711
620	1163	709
621	1164	707
622	1166	705
623	1167	703
624	1169	701
625	1170	699
626	1172	697
627	1174	695
628	1175	693
629	1176	691
630	1178	689
631	1180	687
632	1181	685
633	1183	682
634	1184	680
635	1186	678
636	1187	676
637	1189	674
638	1190	672
639	1192	670
640	1193	668
641	1195	666
642	1197	664
643	1198	662
644	1200	660
645	1201	658
646	1203	656
647	1205	654
648	1206	652
649	1208	650
650	1209	648
651	1211	646
652	1213	644
653	1215	642
654	1216	640
655	1218	639
656	1220	636
657	1221	634
658	1223	632
659	1224	631
660	1226	629
661	1228	627
662	1230	625
663	1231	623
664	1233	621
665	1234	619
666	1236	617
667	1238	615
668	1247	617
669	1249	615
670	1252	614
671	1256	613
672	1258	611
673	1260	609
674	1263	608
675	1265	606
676	1268	605
677	1270	603
678	1272	601
679	1274	599
680	1276	597
681	1278	595
682	1280	594
683	1282	592
684	1284	590
685	1285	588
686	1287	586
687	1289	584
688	1290	582
689	1292	580
690	1294	578
691	1295	576
692	1297	574
693	1299	573
694	1301	571
695	1302	569
696	1304	567
697	1306	565
698	1307	563
699	1309	561
700	1311	559
701	1313	557
702	1314	555
703	1316	553
704	1318	551
705	1319	549
706	1321	547
707	1322	545
708	1324	543
709	1326	541
710	1327	539
711	1329	537
712	1330	535
713	1332	533
714	1333	531
715	1335	529
716	1336	527
717	1338	525
718	1339	523
719	1341	521
720	1343	519
721	1344	517
722	1345	515
723	1347	513
724	1348	511
725	1350	509
726	1351	507
727	1353	505
728	1354	503
729	1356	501
730	1357	499
731	1359	497
732	1360	495
733	1362	493
734	1363	491
735	1365	489
736	1366	487
737	1368	485
738	1369	483
739	1371	481
740	1372	479
741	1373	477
742	1375	475
743	1376	473
744	1378	471
745	1379	469
746	1381	467
747	1383	465
748	1384	464
749	1386	462
750	1387	460
751	1389	458
752	1390	456
753	1392	454
754	1393	452
755	1395	450
756	1396	448
757	1398	446
758	1399	444
759	1401	442
760	1402	440
761	1404	438
762	1405	436
763	1407	434
764	1408	432
765	1410	430
766	1412	429
767	1413	427
768	1415	425
769	1416	423
770	1418	421
771	1419	419
772	1421	417
773	1422	415
774	1424	413
775	1425	411
776	1427	409
777	1428	407
778	1430	405
779	1432	403
780	1433	402
781	1435	400
782	1436	398
783	1438	396
784	1439	394
785	1441	392
786	1443	390
787	1445	388
788	1446	386
789	1448	384
790	1449	383
791	1451	381
792	1452	379
793	1454	377
794	1456	375
795	1457	373
796	1459	371
797	1460	369
798	1462	367
799	1464	366
800	1465	364
801	1467	362
802	1468	360
803	1470	358
804	1471	356
805	1473	354
806	1474	352
807	1476	350
808	1478	349
809	1479	347
810	1481	345
811	1483	343
812	1484	341
813	1486	339
814	1488	337
815	1489	335
816	1491	334
817	1492	332
818	1494	330
819	1496	328
820	1497	326
821	1499	324
822	1501	322
823	1502	320
824	1504	319
825	1505	317
826	1507	315
827	1508	313
828	1510	311
829	1512	309
830	1514	307
831	1516	306
832	1517	304
833	1519	302
834	1520	300
835	1522	298
836	1523	296
837	1525	294
838	1526	293
839	1528	291
840	1529	289
841	1531	287
842	1532	285
843	1534	283
844	1535	281
845	1537	279
846	1538	277
847	1540	276
848	1541	274
849	1543	272
850	1545	270
851	1546	268
852	1547	266
853	1549	264
854	1550	263
855	1552	261
856	1553	259
857	1555	257
858	1556	255
859	1558	253
860	1559	251
861	1561	249
862	1562	248
863	1564	246
864	1565	244
865	1567	242
866	1569	240
867	1570	238
868	1572	236
869	1573	235
870	1575	233
871	1576	231
872	1578	229
873	1579	227
874	1581	225
875	1582	224
876	1584	222
877	1585	220
878	1587	218
879	1588	216
880	1590	214
881	1591	212
882	1593	211
883	1594	209
884	1596	207
885	1597	205
886	1599	203
887	1600	201
888	1602	200
889	1603	198
890	1605	196
891	1606	194
892	1608	192
893	1609	190
894	1611	189
895	1612	187
896	1614	185
897	1615	183
898	1617	181
899	1618	179
900	1620	178
901	1621	176
902	1623	174
903	1624	172
904	1626	170
905	1627	168
906	1629	167
907	1630	165
908	1632	163
909	1633	161
910	1635	159
911	1636	157
912	1638	156
913	1639	154
914	1641	152
915	1642	150
916	1644	148
917	1646	147
918	1647	145
919	1649	143
920	1650	141
921	1652	139
922	1653	137
923	1655	136
924	1657	134
925	1658	132
926	1660	130
927	1661	128
928	1663	127
929	1664	125
930	1666	123
931	1667	121
932	1669	119
933	1670	118
934	1672	116
935	1673	114
936	1675	112
937	1676	110
938	1678	109
939	1679	107
940	1681	105
941	1682	103
942	1684	101
943	1685	100
944	1687	98
945	1688	96
946	1690	94
947	1691	92
948	1693	91
949	1695	89
950	1696	87
951	1698	85
952	1699	83
953	1701	82
954	1702	80
955	1704	78
956	1705	76
957	1706	74
958	1708	73
959	1710	71
960	1711	69
961	1713	67
962	1714	65
963	1716	64
964	1717	62
965	1719	60
966	1720	58
967	1722	56
968	1723	55
969	1725	53
970	1726	51
971	1728	49
972	1729	48
973	1731	46
974	1733	44
975	1734	42
976	1735	40
977	1737	39
978	1738	37
979	1740	35
980	1741	33
981	1743	31
982	1745	30
983	1746	28
984	1747	26
985	1749	24
986	1750	23
987	1752	21
988	1753	19
989	1755	17
990	1756	15
991	1758	14
992	1759	12
993	1761	10
994	1762	8
995	1764	7
996	1765	5
997	1767	3
998	1768	1
999	1770	0
